,1209330272,1209330640,1209330887,1209332387,1278838932,1278838937,1278838975,1278838976,1278838994,1278839005,1278839019,1278839025,1278839038,1278839042,1278839084,1278839092,1278839131,1278839146,1493669240,1505184312,1505184313,1505184314,1505184315,1505184316,1505184318,1505184320,1505184321,1505184322,1505184323,1505184324,1505184326,1505184327,1505184328,1505184329,1505184330,1505184331,1505184332,1505184334,1555729951,1555729961,1555729967,1555729985,171946,1760085654,1854720781,1900998825,1900998827,1915012227,1915012228,1915012230,1950481105,1950481115,1950481116,1950481121,1950481125,1950481126,1950481127,1957490899,1963430768,1963430771,1973690386,1973690392,1973690393,1981925766,1981925767,1981925770,2005647264,20953243,20953244,21527321,21627170,21627306,2377018002,2383701843,2383701844,2383701845,2383701846,2383701847,2383701848,2506473177,2506473199,255289006,255289007,255522956,25552412,25552416,25552418,25552421,25552423,25552425,25552446,25552447,25552448,25552449,25552450,25901851,25901895,25901897,25901898,25901914,25901917,25901919,25901921,25901925,25901935,25901936,25901938,25901940,25901948,25901950,25901951,25901958,25903291,25903296,25903298,25903302,25903307,25903309,2620304856,2620304879,26513047,26513061,26513067,26513072,26513085,26513091,26513097,26513105,26513111,26513117,26513124,26513132,26513137,26513145,26513155,26784118,2757612347,28096488,28096712,2827804125,29484171,29484172,3235382373,3280496563,329991000,329991170,329991195,329991283,329991544,3323813669,3323948849,3418035823,3418035825,3418035826,3418035827,3418035839,3418035846,3428425011,3428425012,3428425014,345537803,345538472,345538475,3587032531,365886564,389139048,389139057,3964030753,4018314904,4154368889,4203458319,4456617457,4470512290,4576234358,4576234359,4576234370,4576234377,4576234821,4576234822,4576234823,4576234824,4576234828,554166728,942080445,942080448,942080449,942080459,942080469,942080477,996183822,996184088
1209330272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,highway.residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,highway.residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1209330640,highway.residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1209330887,,,,highway.residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1209332387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,highway.residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1278838932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,highway.residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1278838937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,highway.tertiary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1278838975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,highway.primary,,,,,,,,,,,,,,,,,,,,,,,,,,
1278838976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,highway.primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1278838994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,highway.primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1278839005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,highway.tertiary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,highway.tertiary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
